Appendix A Location,Type,Latitude,Longitude
Beacon Hill Park,Park,48.4122187,-123.4060697
Royal Athletic Park,Park,48.431192,-123.3564958
Topaz Park,Park,48.4427635,-123.3662946
Central Park,Park,48.4331642,-123.3578871
Stadacona Park,Park,48.4272435,-123.341893
Oaklands Park,Park,48.4371358,-123.3741119
Irving Park,Park,48.4162792,-123.3748087
Hollywood Park,Park,48.4133309,-123.3453118
Gonzalez Park,Park,48.4110968,-123.3394389
North Park,Park,48.4300064,-123.3590594
Fairfield,Neighborhood,48.4134952,-123.3686866
Downtown,Neighborhood,48.4258358,-123.3834613
Fernwood,Neighborhood,48.4296289,-123.3521227
Rockland,Neighborhood,48.4212649,-123.3493714
Oaklands,Neighborhood,48.4432794,-123.3508597
Uplands,Neighborhood,48.4457371,-123.3195858
Harris Green,Neighborhood,48.4238542,-123.3573653
Burnside,Neighborhood,48.4401304,-123.3849124
Gonzalez,Neighborhood,48.4171829,-123.3386583
Sooke,Region?,,
West Shore,Region?,,
Langford,Region?,,
Colwood,Region?,,
Metchosin,Neighborhood,,
View Royal,Neighborhood,,
Pandora Avenue/ Pandora,Neighborhood,,
900-block of Pandora Avenue/Pandora,Street,,