,Unnamed: 0,text,scrape_time,tweet_id,created_at,reply_count,quote_count,like_count,retweet_count,username,num_followers,keywords,sentiment,score
0,0,@HomeForHope @BurnsideGorge I am #homeowner #widow in @saanich had my in trust privateproperty stolen https://t.co/KX9QNPdFag by @cibc @BCProvCourt @David_eby every dime embezzled by @bcndp now #extremepoverty homeless/forced into prostitution. 1st act of #genocide against family/son https://t.co/u7LPS12QS0,2022-04-10 13:54:16.954377,1513216985059913730,2022-04-10 18:06:58+00:00,0,0,0,0,HatedByBCgovt,20,Victoria Homeless,Negative,0.377482533454895
1,1,"Had loads of yellow sticker mushrooms and a yellow sticker beef joint - so today the homeless couple ate Beef and Mushroom Stroganoff, with rice…followed by gluten free (yellow sticker) Victoria sponge and custard.  In these shitty times it makes me happy I can do a tiny bit 1/2",2022-04-10 13:54:16.954377,1513201687476981762,2022-04-10 17:06:10+00:00,1,0,8,0,brightsider123,12507,Victoria Homeless,Negative,0.3491257429122925
2,2,"@george_pattons @gopisdirty @PeterBartholo14 @DaniTrump2020 @Randomwatcher51 @Bad_Boy_Jesus @Mountain_Buddy @jerbear714 @Vickie627 @LadyOfTheOcean1 @fukit32 @Bigteethyouhave @PridgeWessea @Flattielover @akuscg @Synyster63 @KsLiberal @Frdmlvr3691 @TommyD07868371 @Saggit95 @donnnie @ShellyRKirchoff @PalusoSonny @SpongebobBirth @TheDaveWeinbaum @BC_Missy @victoria_roark @NathanBronson7 @Silver_Strike @skeeduu @NatForTrump2024 @Jetson77 @PhilipEMSkinne1 @newsjunky2 @Kittie_Svengali @SaveThe_Ukraine @sd_usn @JoeBro20802650 @CunningMarshal @SuP3rK @NanetteDonnelly @VinceGottalotta @mmEyeNewMe @chriscr66024638 @RushvilleRockit @Sembrouthes @giddy_bunny @RonVarney3 @jeff77531528 @Emma34770971 Taxes
Criminals released 
Crime wave
Hunter
Covid deaths skyrocket
Homeless population growing
The red tsunami",2022-04-10 13:54:16.954377,1513164066654765062,2022-04-10 14:36:41+00:00,2,0,3,2,EndZonerBoner,261,Victoria Homeless,Negative,0.3715180456638336
3,3,"Meanwhile in victoria’s  momo world 🌎 
Homeless diary in Europe!
My friend is sleeping and I don’t have the keys 🔑 waiting  for a miracle and she woke up soon  7 am local time 
Sunday fun day #NFTCommmunity https://t.co/lo2jJyicac",2022-04-10 13:54:16.954377,1513070799359561728,2022-04-10 08:26:04+00:00,1,0,2,0,victoriacitro,3725,Victoria Homeless,Negative,0.35054782032966614
4,4,"Great news

I scored a perfect 10.0 on Twitter today

I defended BIPOC, advocated for the homeless, made our community better, school #brWOKEn idiots, educated the Bicycle Lobby and blocked Together Victoria trolls https://t.co/z0YGPvElDA",2022-04-10 13:54:16.954377,1512994372270243840,2022-04-10 03:22:23+00:00,1,0,8,0,CharlesBodi,722,Victoria Homeless,Negative,0.405538946390152
5,5,@EndZonerBoner @LadyOfTheOcean1 @Flattielover @DaniTrump2020 @Synyster63 @KsLiberal @Bigteethyouhave @Frdmlvr3691 @TommyD07868371 @Saggit95 @jerbear714 @donnnie @ShellyRKirchoff @akuscg @gopisdirty @PalusoSonny @SpongebobBirth @TheDaveWeinbaum @BC_Missy @victoria_roark @NathanBronson7 @Silver_Strike @skeeduu @PridgeWessea @NatForTrump2024 @Jetson77 @PhilipEMSkinne1 @newsjunky2 @Kittie_Svengali @SaveThe_Ukraine @sd_usn @JoeBro20802650 @CunningMarshal @PeterBartholo14 @SuP3rK @NanetteDonnelly @VinceGottalotta @mmEyeNewMe @chriscr66024638 @RushvilleRockit @Sembrouthes @giddy_bunny @RonVarney3 @jeff77531528 @Emma34770971 @ItsBT50 @cbessex @CapJ2021 @gurleysgrl @GinniaDivinia Yes it is hateful. They’re being treated very badly in Tijuana. They are homeless in Tijuana,2022-04-10 13:54:16.954377,1512985418043564034,2022-04-10 02:46:48+00:00,1,0,1,0,Vickie627,6124,Victoria Homeless,Negative,0.3805294334888458
6,6,"@Vickie627 @LadyOfTheOcean1 @Flattielover @DaniTrump2020 @Synyster63 @KsLiberal @Bigteethyouhave @Frdmlvr3691 @TommyD07868371 @Saggit95 @jerbear714 @donnnie @ShellyRKirchoff @akuscg @gopisdirty @PalusoSonny @SpongebobBirth @TheDaveWeinbaum @BC_Missy @victoria_roark @NathanBronson7 @Silver_Strike @skeeduu @PridgeWessea @NatForTrump2024 @Jetson77 @PhilipEMSkinne1 @newsjunky2 @Kittie_Svengali @SaveThe_Ukraine @sd_usn @JoeBro20802650 @CunningMarshal @PeterBartholo14 @SuP3rK @NanetteDonnelly @VinceGottalotta @mmEyeNewMe @chriscr66024638 @RushvilleRockit @Sembrouthes @giddy_bunny @RonVarney3 @jeff77531528 @Emma34770971 @ItsBT50 @cbessex @CapJ2021 @gurleysgrl @GinniaDivinia No, it's not hateful, when you see what happens to them here. Compassion isn't taking someone in so they can be mistreated, homeless, and used by people at the day labor corral. It's actually more cruel.",2022-04-10 13:54:16.954377,1512976217716236303,2022-04-10 02:10:14+00:00,2,0,1,1,PridgeWessea,1466,Victoria Homeless,Negative,0.380107581615448
7,7,@EndZonerBoner @LadyOfTheOcean1 @Flattielover @DaniTrump2020 @Synyster63 @KsLiberal @Bigteethyouhave @Frdmlvr3691 @TommyD07868371 @Saggit95 @jerbear714 @Vickie627 @donnnie @ShellyRKirchoff @akuscg @gopisdirty @PalusoSonny @SpongebobBirth @TheDaveWeinbaum @BC_Missy @victoria_roark @NathanBronson7 @Silver_Strike @skeeduu @NatForTrump2024 @Jetson77 @PhilipEMSkinne1 @newsjunky2 @Kittie_Svengali @SaveThe_Ukraine @sd_usn @JoeBro20802650 @CunningMarshal @PeterBartholo14 @SuP3rK @NanetteDonnelly @VinceGottalotta @mmEyeNewMe @chriscr66024638 @RushvilleRockit @Sembrouthes @giddy_bunny @RonVarney3 @jeff77531528 @Emma34770971 @ItsBT50 @cbessex @CapJ2021 @gurleysgrl @GinniaDivinia But you don’t do about the homeless anyway except bitch that they’re there.,2022-04-10 13:54:16.954377,1512970727770636290,2022-04-10 01:48:25+00:00,1,0,0,0,GFenburn,6,Victoria Homeless,Negative,0.37969040870666504
8,8,"@Vickie627 @LadyOfTheOcean1 @Flattielover @DaniTrump2020 @Synyster63 @KsLiberal @Bigteethyouhave @Frdmlvr3691 @TommyD07868371 @Saggit95 @jerbear714 @donnnie @ShellyRKirchoff @akuscg @gopisdirty @PalusoSonny @SpongebobBirth @TheDaveWeinbaum @BC_Missy @victoria_roark @NathanBronson7 @Silver_Strike @skeeduu @PridgeWessea @NatForTrump2024 @Jetson77 @PhilipEMSkinne1 @newsjunky2 @Kittie_Svengali @SaveThe_Ukraine @sd_usn @JoeBro20802650 @CunningMarshal @PeterBartholo14 @SuP3rK @NanetteDonnelly @VinceGottalotta @mmEyeNewMe @chriscr66024638 @RushvilleRockit @Sembrouthes @giddy_bunny @RonVarney3 @jeff77531528 @Emma34770971 @ItsBT50 @cbessex @CapJ2021 @gurleysgrl @GinniaDivinia Interesting that you say that. 

I'm not right-wing. I just left the left, like many are doing every day lately. 

You're more into the cruelty of being in a strange land and homeless, with no support...in colder temps than they're used to, getting ripped off at day labor. 👍",2022-04-10 13:54:16.954377,1512967458633658372,2022-04-10 01:35:26+00:00,3,0,2,1,Andrewj60215382,3,Victoria Homeless,Negative,0.38219743967056274
9,9,"@LadyOfTheOcean1 @Vickie627 @Flattielover @DaniTrump2020 @Synyster63 @KsLiberal @Bigteethyouhave @Frdmlvr3691 @TommyD07868371 @Saggit95 @jerbear714 @donnnie @ShellyRKirchoff @akuscg @gopisdirty @PalusoSonny @SpongebobBirth @TheDaveWeinbaum @BC_Missy @victoria_roark @NathanBronson7 @Silver_Strike @skeeduu @PridgeWessea @NatForTrump2024 @Jetson77 @PhilipEMSkinne1 @newsjunky2 @Kittie_Svengali @SaveThe_Ukraine @sd_usn @JoeBro20802650 @CunningMarshal @PeterBartholo14 @SuP3rK @NanetteDonnelly @VinceGottalotta @mmEyeNewMe @chriscr66024638 @RushvilleRockit @Sembrouthes @giddy_bunny @RonVarney3 @jeff77531528 @Emma34770971 @ItsBT50 @cbessex @CapJ2021 @gurleysgrl @GinniaDivinia The homeless illegals around here are suffering. It's not like every one of them has a family to stay with here. Then the homeless sweeps happen and their belongings are taken for sanitary reasons, and they're given a ticket that they can't pay.",2022-04-10 13:54:16.954377,1512926357948612610,2022-04-09 22:52:07+00:00,0,1,3,0,niMUSHIN,1859,Victoria Homeless,Negative,0.37994715571403503
10,10,"@LadyOfTheOcean1 @Flattielover @Synyster63 @KsLiberal @Bigteethyouhave @Frdmlvr3691 @DaniTrump2020 @TommyD07868371 @Saggit95 @jerbear714 @Vickie627 @donnnie @ShellyRKirchoff @akuscg @gopisdirty @PalusoSonny @SpongebobBirth @TheDaveWeinbaum @BC_Missy @victoria_roark @NathanBronson7 @Silver_Strike @skeeduu @PridgeWessea @NatForTrump2024 @Jetson77 @PhilipEMSkinne1 @newsjunky2 @Kittie_Svengali @SaveThe_Ukraine @sd_usn @JoeBro20802650 @CunningMarshal @PeterBartholo14 @SuP3rK @NanetteDonnelly @VinceGottalotta @mmEyeNewMe @chriscr66024638 @RushvilleRockit @Sembrouthes @giddy_bunny @RonVarney3 @jeff77531528 @Emma34770971 @ItsBT50 @cbessex @CapJ2021 @gurleysgrl @GinniaDivinia Jen Psaki has already confirmed the phones. It's only a matter of time before the rest comes out. 

We have plenty of workers. We need the jobs and pipeline opened back up.

It's more cruel to have them homeless here, where they don't know anyone at all.",2022-04-10 13:54:16.954377,1512921806923042821,2022-04-09 22:34:02+00:00,1,0,3,1,Covid_Stinks,161,Victoria Homeless,Negative,0.38488203287124634
11,11,"@LadyOfTheOcean1 @Flattielover @DaniTrump2020 @Synyster63 @KsLiberal @Bigteethyouhave @Frdmlvr3691 @TommyD07868371 @Saggit95 @jerbear714 @Vickie627 @donnnie @ShellyRKirchoff @akuscg @gopisdirty @PalusoSonny @SpongebobBirth @TheDaveWeinbaum @BC_Missy @victoria_roark @NathanBronson7 @Silver_Strike @skeeduu @PridgeWessea @NatForTrump2024 @Jetson77 @PhilipEMSkinne1 @newsjunky2 @Kittie_Svengali @SaveThe_Ukraine @sd_usn @JoeBro20802650 @CunningMarshal @PeterBartholo14 @SuP3rK @NanetteDonnelly @VinceGottalotta @mmEyeNewMe @chriscr66024638 @RushvilleRockit @Sembrouthes @giddy_bunny @RonVarney3 @jeff77531528 @Emma34770971 @ItsBT50 @cbessex @CapJ2021 @gurleysgrl @GinniaDivinia Sorry, people should remain in Mexico until they have gone through the process. Charity begins at home, and we have too many who are struggling and homeless.

I'm amazed at how many Hispanic homeless are in a city nearby. Many illegals who come here end up that way.",2022-04-10 13:54:16.954377,1512919518477271040,2022-04-09 22:24:56+00:00,5,0,8,3,EpilepsyRUK,14019,Victoria Homeless,Negative,0.3803086280822754
12,12,@LadyOfTheOcean1 @Flattielover @Synyster63 @KsLiberal @Bigteethyouhave @Frdmlvr3691 @DaniTrump2020 @TommyD07868371 @Saggit95 @jerbear714 @Vickie627 @donnnie @ShellyRKirchoff @akuscg @gopisdirty @PalusoSonny @SpongebobBirth @TheDaveWeinbaum @BC_Missy @victoria_roark @NathanBronson7 @Silver_Strike @skeeduu @PridgeWessea @NatForTrump2024 @Jetson77 @PhilipEMSkinne1 @newsjunky2 @Kittie_Svengali @SaveThe_Ukraine @sd_usn @JoeBro20802650 @CunningMarshal @PeterBartholo14 @SuP3rK @NanetteDonnelly @VinceGottalotta @mmEyeNewMe @chriscr66024638 @RushvilleRockit @Sembrouthes @giddy_bunny @RonVarney3 @jeff77531528 @Emma34770971 @ItsBT50 @cbessex @CapJ2021 @gurleysgrl @GinniaDivinia The cruel part is allowing them to come here and have a free phone and a stipend while parks and underpasses and lakes and empty fields are filling up with the homeless.,2022-04-10 13:54:16.954377,1512908375364976648,2022-04-09 21:40:39+00:00,1,0,0,0,ShellyRKirchoff,17942,Victoria Homeless,Negative,0.3847556710243225
13,13,@Laceybe52576557 @KtDales @coxey3492 @JClerides @JeanetteAshe @kennedystewart Queen Vic on 3rd is a couple of hundred meters from a supportive housing at 1st and Victoria and a homeless shelter.,2022-04-10 13:54:16.954377,1512832957358088192,2022-04-09 16:40:58+00:00,1,0,0,0,Silver_Strike,319,Victoria Homeless,Negative,0.38153114914894104
14,14,@RedParker44 @jerryteixeira I recognize that Victoria. In many cities in Canada the social services provide a stipend to the homeless. Last I know it was like $18 a week? Or that’s what it was in Ottawa.,2022-04-10 13:54:16.954377,1512776764421980160,2022-04-09 12:57:41+00:00,0,0,0,0,wendihouse22,779,Victoria Homeless,Negative,0.3571914732456207
15,15,"@SnoopDogg ""Victoria"" a homeless girl child, selling for 0.039ETH

https://t.co/47xtpUWE0A https://t.co/WmLyD7WcFY",2022-04-10 13:54:16.954377,1512716628512976900,2022-04-09 08:58:43+00:00,0,0,0,0,NanetteDonnelly,3451,Victoria Homeless,Negative,0.37886127829551697
16,16,"@gossthegoose @ArtistAffame @DamienEvans7 @AlboMP the social security provided by the government is necessary. Without it crime, child abuse, homelessness all these terrible social ills would be endemic in a large portion of the population, just as it was before. Think of the Victoria era...we do not want to go back to that",2022-04-10 13:54:17.244411,1513044959523352577,2022-04-10 06:43:24+00:00,1,0,1,0,drobwlldiad,5456,Victoria Homelessness,Negative,0.36656856536865234
17,17,"@EndZonerBoner @Flattielover @Synyster63 @KsLiberal @Bigteethyouhave @Frdmlvr3691 @DaniTrump2020 @TommyD07868371 @Saggit95 @jerbear714 @Vickie627 @donnnie @ShellyRKirchoff @akuscg @gopisdirty @PalusoSonny @SpongebobBirth @TheDaveWeinbaum @BC_Missy @victoria_roark @NathanBronson7 @Silver_Strike @skeeduu @PridgeWessea @NatForTrump2024 @Jetson77 @PhilipEMSkinne1 @newsjunky2 @Kittie_Svengali @SaveThe_Ukraine @sd_usn @JoeBro20802650 @CunningMarshal @PeterBartholo14 @SuP3rK @NanetteDonnelly @VinceGottalotta @mmEyeNewMe @chriscr66024638 @RushvilleRockit @Sembrouthes @giddy_bunny @RonVarney3 @jeff77531528 @Emma34770971 @ItsBT50 @cbessex @CapJ2021 @gurleysgrl @GinniaDivinia Not true. Asylum seekers (unlike people with refugee status) don't qualify for any federal assistance

I know the process is complicated and confusing.  And I agree homelessness is a problem. But you do realize that another problem now is not having enough workers for  jobs",2022-04-10 13:54:17.244411,1512910659322851330,2022-04-09 21:49:44+00:00,1,0,2,0,LadyOfTheOcean1,18551,Victoria Homelessness,Negative,0.3833690881729126
18,18,"Every day, a dire shortage of homes for $550/month causes new inflows to homelessness &amp; prevents exits from homelessness.

#Budget2022 promises 6,000 homes at this rent for ALL OF CANADA. 

Meanwhile, Greater Victoria has a backlog shortage of  &gt;10,000 homes that cost $550/mo.",2022-04-10 13:54:17.244411,1512459595645538307,2022-04-08 15:57:22+00:00,1,0,10,5,NicoleChaland,1095,Victoria Homelessness,Negative,0.36359167098999023
19,19,@Saggit95 @Silver_Strike @ShellyRKirchoff @KsLiberal @Synyster63 @skeeduu @TommyD07868371 @PridgeWessea @Vickie627 @akuscg @NathanBronson7 @Bigteethyouhave @victoria_roark @NatForTrump2024 @SpongebobBirth @Jetson77 @PhilipEMSkinne1 @newsjunky2 @LadyOfTheOcean1 @PalusoSonny @Kittie_Svengali @SaveThe_Ukraine @sd_usn @JoeBro20802650 @CunningMarshal @Flattielover @PeterBartholo14 @SuP3rK @NanetteDonnelly @VinceGottalotta @jerbear714 @mmEyeNewMe @chriscr66024638 @RushvilleRockit @Sembrouthes @giddy_bunny @RonVarney3 @jeff77531528 @Emma34770971 @ItsBT50 @cbessex @CapJ2021 @gurleysgrl @GinniaDivinia @gopisdirty @Annie20554592 @BC_Missy @BernFost1 @WisePaxCat @IvankaTrump And what are you doing about the homelessness all over the US? How does homelessness cure sexuality taught in schools in early education? I think you’ve been dropped on your head too many times as an infant!,2022-04-10 13:54:17.244411,1512228265032921111,2022-04-08 00:38:08+00:00,2,0,3,0,Frdmlvr3691,110,Victoria Homelessness,Negative,0.3933616280555725
20,20,"@cameronnight11 @Stefan_SCan People do it here in Victoria all year long 🤷‍♀️ it's not labeled a protest though, just homelessness, you know, a permanent problem, not tempory https://t.co/enP5g9xPbU",2022-04-10 13:54:17.244411,1512155605816918020,2022-04-07 19:49:25+00:00,1,0,2,0,KaylaHogg3,298,Victoria Homelessness,Neutral,0.34963440895080566
21,21,Omg there’s so much homelessness in Victoria Street atm and I’m an easy target. I’ve officially paid the rent this week. #devastating,2022-04-10 13:54:17.244411,1511952760228696066,2022-04-07 06:23:23+00:00,0,0,0,0,KellyManningart,893,Victoria Homelessness,Positive,0.36324968934059143
22,22,"This.

This is the very human face of regional Victoria's renting, housing and homelessness crisis.

This is a crisis if our own making. 

Well told by @JessWhitty at @PRIME7Border.
https://t.co/PYQR6yjgym",2022-04-10 13:54:17.244411,1511844182960214019,2022-04-06 23:11:56+00:00,1,6,21,10,VCOSS,14103,Victoria Homelessness,Negative,0.3870037794113159
23,23,"""Cancel every member of Victoria Police.
Drive them into poverty and homelessness. Banish them. They will be punished for the rest of their lives""",2022-04-10 13:54:17.244411,1511543850011045891,2022-04-06 03:18:31+00:00,0,0,0,0,AnthonyLarme,982,Victoria Homelessness,Positive,0.3659859895706177
24,24,"Examples of those entities:
Capital Region Housing Corporation
Pacifica Housing
Aboriginal Coalition to End Homelessness
Gorge View Society
Greater Victoria Housing Society
Threshold Housing Society
M'akola Housing Society",2022-04-10 13:54:17.244411,1511504880514441218,2022-04-06 00:43:40+00:00,1,0,6,0,_jeremy_sch,312,Victoria Homelessness,Negative,0.38317036628723145
25,25,'That should shock people': Single mum of five faces living in her car - looking at the rental situation in Victoria https://t.co/d9dMZIVCpb,2022-04-10 13:54:17.244411,1511334233469591563,2022-04-05 13:25:35+00:00,0,0,0,0,Barbara56532662,14,Victoria Homelessness,Negative,0.3647395372390747
26,26,"@YasMohammedxx Come to Victoria.  There are groups of people doing this every odd week.  Young women concerned about big trees, mad-hatters who think extinction is nigh, folks trying to end homelessness, university kids who want to  abolish the police----you name it, we got it in spades.",2022-04-10 13:54:17.244411,1511161064271933442,2022-04-05 01:57:28+00:00,1,0,3,0,MrDunstanESQ,148,Victoria Homelessness,Negative,0.3674234449863434
27,27,TIL “camping” is another word for homelessness. || Some students in Victoria are riding out the rental crisis by camping out full-time | CBC News  https://t.co/M20jfWdKny,2022-04-10 13:54:17.244411,1511000894598357000,2022-04-04 15:21:00+00:00,0,0,0,0,michellecraik,59,Victoria Homelessness,Neutral,0.3481876254081726
28,28,"You are invited to learn: Skateboard Parks, Community Gardens, Homelessness, Placemaking, Victoria, BC, Canada. Vision &amp; action. Presentations by 2 superb mayors: @LisaHelps, Canada &amp; @AnaOregi, Vitoria-Gasteiz, Spain. This Tue. April 5, 11am EST. Register https://t.co/PnlMuPQM5h https://t.co/adCPUJv1GV",2022-04-10 13:54:17.244411,1510742815264940035,2022-04-03 22:15:30+00:00,1,0,3,1,Penalosa_G,23054,Victoria Homelessness,Negative,0.3796544373035431
29,29,"Some students in Victoria are experiencing homelessness.

FTFY https://t.co/sPKGeYDpYE",2022-04-10 13:54:17.244411,1510720191444840449,2022-04-03 20:45:36+00:00,11,2,116,29,rohanarezel,4584,Victoria Homelessness,Negative,0.3670797049999237
30,30,"@ourplacesociety My understanding is there is a mix of people at that encampment

There are those who failed out of housing

Those who are new to Victoria

And then there are housed people like Shea Smith trying to create a tent city

Now they're calling it the Vic High Village to avoid stigma",2022-04-10 13:54:17.369011,1512996261552525316,2022-04-10 03:29:53+00:00,0,0,2,0,CharlesBodi,722,Victoria Encampment,Negative,0.35217800736427307
31,31,@berryonline Hopefully you are going to discuss when the removal of that disgusting and disgraceful eye sore of an encampment on Weber and Victoria is going to be removed,2022-04-10 13:54:17.369011,1512044093555281925,2022-04-07 12:26:18+00:00,0,0,0,0,IMTysonBond,18,Victoria Encampment,Negative,0.3617914617061615
32,32,"""A country can survive war, illness, and poverty,
However, one cannot survive in a country....
Where justice does not exist.""
(Pablo Victoria)",2022-04-10 13:54:17.771372,1513221516137271297,2022-04-10 18:24:58+00:00,0,0,2,0,Neurokirurg,340,Victoria Poverty,Positive,0.3788694739341736
33,33,@PovReductionBC @PovFreeTeam @300ToLive FORCED INTO POVERTY &amp; PROSTITUTION https://t.co/KX9QNPdFag BY GOVT #BCStorm I am being #murdered by @saanich @vicpdcanada @SaanichPolice AGENTS &amp;BC GOVT @Dave_Eby @jjhorgan @BCProsecution @BCProvCourt AGENTS #racism #hatecrimes #discrimination #Taken #evil https://t.co/u7LPS12QS0,2022-04-10 13:54:17.771372,1513214575126056963,2022-04-10 17:57:23+00:00,0,0,0,0,HatedByBCgovt,20,Victoria Poverty,Negative,0.36111515760421753
34,34,"The opening quote🥺🥺
""A country can survive war, illness, and poverty. However, one cannot survive in a country where justice does not exist.""- Pablo Victoria #AgainMyLifeEp1",2022-04-10 13:54:17.771372,1513126377377124360,2022-04-10 12:06:55+00:00,1,1,1,0,M_Adeeronke,221,Victoria Poverty,Negative,0.36584439873695374
35,35,"A country can survive war, illness, and poverty. However, one cannot survive in a country where justice does not exist.
-Pablo Victoria.",2022-04-10 13:54:17.771372,1512935244567138310,2022-04-09 23:27:25+00:00,1,0,3,0,fauzeeyya9,563,Victoria Poverty,Negative,0.36841729283332825
36,36,"""A country can survive war, illness, and  poverty. However, one cannot survive in a country where justice does not exist."" ~Pablo Victoria",2022-04-10 13:54:17.771372,1512918804309110785,2022-04-09 22:22:06+00:00,0,0,1,0,nestgianan,771,Victoria Poverty,Negative,0.3694974482059479
37,37,"#امپورٹڈ_حکومت_نامنظور 
A country can survive war, illness, and poverty. However, one cannot survive in a country where justice does not exist. (pablo victoria)",2022-04-10 13:54:17.771372,1512908922205749255,2022-04-09 21:42:50+00:00,0,0,0,0,x2ichi,22,Victoria Poverty,Negative,0.3820854723453522
38,38,"@jjhorgan We continue to call on Victoria to increase disabled BCers’ #PwD rates to an adequate level of support, not the constant struggle of far below poverty. Unfortunately, the provincial budget failed to #RaiseTheRates by even a single dollar.

@BCNDP @NicholasSimons @SelinaRobinson",2022-04-10 13:54:17.771372,1512851839619768327,2022-04-09 17:56:00+00:00,3,0,9,4,DisabledVancity,248,Victoria Poverty,Negative,0.3716590106487274
39,39,"We continue to call on Victoria to increase disabled BCers’ #PwD rates to an adequate level of support, not the constant struggle of far below poverty. Unfortunately, the provincial budget failed to #RaiseTheRates by even a single dollar.

@BCNDP @NicholasSimons @SelinaRobinson https://t.co/dakc9Mnbcs",2022-04-10 13:54:17.771372,1512851780081577986,2022-04-09 17:55:46+00:00,0,0,4,3,siipril,59,Victoria Poverty,Negative,0.3814440071582794
40,40,"""A country can survive war, disease and poverty, but one cannot survive in a country where justice doesn't exist""

-Pablo Victoria-",2022-04-10 13:54:17.771372,1512812714946863107,2022-04-09 15:20:32+00:00,0,0,0,0,v_mcmxci,3,Victoria Poverty,Negative,0.3672299087047577
